"game_date","week","home_team","away_team","winner","tie","weekday","time","pts_win","pts_loss","yds_win","turnovers_win","yds_loss","turnovers_loss","home_team_name","home_team_city","away_team_name","away_team_city","total_attendance","home_attendance","away_attendance","weekly_attendance","wins","loss","points_for","points_against","points_differential","margin_of_victory","strength_of_schedule","simple_rating","offensive_ranking","defensive_ranking","playoffs","superbowl_winner","game_year"
2000-09-03,"1","Green Bay Packers","New York Jets","New York Jets",NA,"Sun",16:20:00,20,16,379,1,211,2,"Packers","Green Bay","Jets","New York",1049602,478747,570855,59870,9,7,353,323,30,1.9,0.6,2.5,1.8,0.7,0,0,2000
2000-09-03,"1","Buffalo Bills","Tennessee Titans","Buffalo Bills",NA,"Sun",20:35:00,16,13,266,0,172,1,"Bills","Buffalo","Titans","Tennessee",1098587,560695,537892,72492,8,8,315,350,-35,-2.2,2.2,0,0.5,-0.5,0,0,2000
2000-09-04,"1","St. Louis Rams","Denver Broncos","St. Louis Rams",NA,"Mon",21:07:00,41,36,513,3,424,0,"Rams","St. Louis","Broncos","Denver",1081368,528402,552966,65956,10,6,540,471,69,4.3,-1.2,3.1,12.6,-9.5,1,0,2000
2000-09-10,"2","Minnesota Vikings","Miami Dolphins","Minnesota Vikings",NA,"Sun",12:00:00,13,7,468,4,209,1,"Vikings","Minnesota","Dolphins","Miami",1029262,513322,515940,64112,11,5,397,371,26,1.6,0.3,1.9,4.3,-2.3,1,0,2000
2000-09-10,"2","Cincinnati Bengals","Cleveland Browns","Cleveland Browns",NA,"Sun",13:00:00,24,7,354,1,318,3,"Bengals","Cincinnati","Browns","Cleveland",967434,469992,497442,64006,4,12,185,359,-174,-10.9,0.4,-10.5,-8.1,-2.4,0,0,2000
2000-09-10,"2","Indianapolis Colts","Oakland Raiders","Oakland Raiders",NA,"Sun",13:00:00,38,31,359,0,462,3,"Colts","Indianapolis","Raiders","Oakland",1008013,454319,553694,56769,10,6,429,326,103,6.4,1.5,7.9,7.1,0.8,1,0,2000
2000-09-10,"2","Tampa Bay Buccaneers","Chicago Bears","Tampa Bay Buccaneers",NA,"Sun",13:01:00,41,0,327,0,165,4,"Buccaneers","Tampa Bay","Bears","Chicago",1080729,524775,555954,65569,10,6,388,269,119,7.4,-0.1,7.3,3.4,3.9,1,0,2000
2000-09-10,"2","Buffalo Bills","Green Bay Packers","Buffalo Bills",NA,"Sun",13:01:00,27,18,309,1,274,3,"Bills","Buffalo","Packers","Green Bay",1098587,560695,537892,77722,8,8,315,350,-35,-2.2,2.2,0,0.5,-0.5,0,0,2000
2000-09-10,"2","Baltimore Ravens","Jacksonville Jaguars","Baltimore Ravens",NA,"Sun",13:02:00,39,36,331,2,421,4,"Ravens","Baltimore","Jaguars","Jacksonville",1062373,551695,510678,68843,12,4,333,165,168,10.5,-2.5,8,0,8,1,1,2000
2000-09-10,"2","Philadelphia Eagles","New York Giants","New York Giants",NA,"Sun",13:02:00,33,18,387,0,237,0,"Eagles","Philadelphia","Giants","New York",1039856,523531,516325,65530,11,5,351,245,106,6.6,-3.6,3.1,1,2.1,1,0,2000
